Code,Description1,Description2,Type,Unknown1,Unknown2,Unknown3,Unknown4
G0278006004,and interpretation (list separately in addition to primary procedure),,,,,,
G0279001003,"Diagnostic digital breast tomosynthesis, unilateral or bilateral (list","Tomosynthesis, mammo        13      A",,,C,I1C,4      0201501012018
G0279002004,separately in addition to 77065 or 77066),,,,,,
G0281001003,"Electrical stimulation, (unattended), to one or more areas, for chronic stage",Elec stim unattend for press11      A,,,C,P5E,1UW    0200304012003
G0281002004,"iii and stage iv pressure ulcers, arterial ulcers, diabetic ulcers, and venous",,,,,,
G0281003004,stasis ulcers not demonstrating measurable signs of healing after 30 days of,,,,,,
G0281004004,"conventional care, as part of a therapy plan of care",,,,,,
G0282001003,"Electrical stimulation, (unattended), to one or more areas, for wound care",Elect stim wound care not pd00      9                  35-98,,,M,P5E,1UW    0200304012003
G0282002004,other than described in g0281,,,,,,
G0283001003,"Electrical stimulation (unattended), to one or more areas for indication(s)",Elec stim other than wound  11      A,,,C,P5E,1UW    0200301012003
G0283002004,"other than wound care, as part of a therapy plan of care",,,,,,
G0288001003,"Reconstruction, computed tomographic angiography of aorta for surgical planning","Recon, cta for surg plan    11      A",,,C,I2B,4      0200301012006
G0288002004,for vascular surgery,,,,,,
G0289001003,"Arthroscopy, knee, surgical, for removal of loose body, foreign body,","Arthro, loose body + chondro11      A",,,C,P8A,2      0200301012003
G0289002004,debridement/shaving of articular cartilage (chondroplasty) at the time of other,,,,,,
G0289003004,surgical knee arthroscopy in a different compartment of the same knee,,,,,,
G0293001003,"Noncovered surgical procedure(s) using conscious sedation, regional, general or","Non-cov surg proc,clin trial00      9",,,D,0107Y2,2      0200301012003
G0293002004,"spinal anesthesia in a medicare qualifying clinical trial, per day",,,,,,
G0294001003,"Noncovered procedure(s) using either no anesthesia or local anesthesia only, in","Non-cov proc, clinical trial00      9",,,D,0109Y2,2      0200301012003
G0294002004,"a medicare qualifying clinical trial, per day",,,,,,
G0295001003,"Electromagnetic therapy, to one or more areas, for wound care other than",Electromagnetic therapy onc 00      935-98,,,M,I2B,1UW    0200304012004
G0295002004,described in g0329 or for other uses,,,,,,
G0296001003,Counseling visit to discuss need for lung cancer screening using low dose ct,Visit to determ ldct elig   13      A,,,C,M6,1      0201502052015
G0296002004,scan (ldct) (service is for eligibility determination and shared decision,,,,,,
G0296003004,making),,,,,,
G0297001003,Low dose ct scan (ldct) for lung cancer screening,Ldct for lung ca screen     13      A,,,C,I2B,1      0201502052021
G0299001003,Direct skilled nursing services of a registered nurse (rn) in the home health,Hhs/hospice of rn ea 15 min 00      9,,,C,M5D,1      0201511022015
G0299002004,"or hospice setting, each 15 minutes",,,,,,
G0300001003,Direct skilled nursing services of a licensed practical nurse (lpn) in the home,Hhs/hospice of lpn ea 15 min00      9,,,C,M5D,1      0201511022015
G0300002004,"health or hospice setting, each 15 minutes",,,,,,
G0302001003,"Pre-operative pulmonary surgery services for preparation for lvrs, complete",Pre-op service lvrs complete00      9,,,C,T2D,1      0200401012004
G0302002004,"course of services, to include a minimum of 16 days of services",,,,,,
G0303001003,"Pre-operative pulmonary surgery services for preparation for lvrs, 10 to 15",Pre-op service lvrs 10-15dos00      9,,,C,T2D,1      0200401012004
G0303002004,days of services,,,,,,
G0304001003,"Pre-operative pulmonary surgery services for preparation for lvrs, 1 to 9 days",Pre-op service lvrs 1-9 dos 00      9,,,C,T2D,1      0200401012004
G0304002004,of services,,,,,,
G0305001003,"Post-discharge pulmonary surgery services after lvrs, minimum of 6 days of",Post op service lvrs min 6  00      9,,,C,T2D,1      0200401012004
G0305002004,services,,,,,,
G0306001003,"Complete cbc, automated (hgb, hct, rbc, wbc, without platelet count) and",Cbc/diffwbc w/o platelet    21      A,400.0,,C,T1D,5      0200401012009
G0306002004,automated wbc differential count,,,,,,
G0307001003,"Complete (cbc), automated (hgb, hct, rbc, wbc; without platelet count)",Cbc without platelet        21      A,400.0,,C,T1D,5      0200401012009
G0308001003,Creation of subcutaneous pocket with insertion of 180 day implantable,180 d implant glucose sensor13      A,,,C,M5D,2      0202207012023
G0308002004,"interstitial glucose sensor, including system activation and patient training",,,,,,
G0309001003,Removal of implantable interstitial glucose sensor with creation of,Rem/inser glu sensor dif sit13      A,,,C,T2D,2      0202207012023
G0309002004,subcutaneous pocket at different anatomic site and insertion of new 180 day,,,,,,
G0309003004,"implantable sensor, including system activation",,,,,,
G0310001003,Immunization counseling by a physician or other qualified health care,Immunize counsel 5-15 min   99      9,,,I,0225M5D,1      0202205112022
G0310002004,professional when the vaccine(s) is not administered on the same date of,,,,,,
G0310003004,"service, 5 to 15 mins time (this code is used for medicaid billing purposes)",,,,,,
G0311001003,Immunization counseling by a physician or other qualified health care,Immunize counsel 16-30 mins 99      9,,,I,0225M5D,1      0202205112022
G0311002004,professional when the vaccine(s) is not administered on the same date of,,,,,,
G0311003004,"service,  16-30 mins time (this code is used for medicaid billing purposes)",,,,,,
G0312001003,Immunization counseling by a physician or other qualified health care,Immunize couns < 21yr 5-15 m99      9,,,I,0225M5D,1      0202205112022
G0312002004,professional when the vaccine(s) is not administered on the same date of,,,,,,
G0312003004,"service for ages under 21, 5 to 15 mins time (this code is used for medicaid",,,,,,
G0312004004,billing purposes),,,,,,
G0313001003,Immunization counseling by a physician or other qualified health care,Immunize couns < 21yr 6-30 m99      9,,,I,0225M5D,1      0202205112022
G0313002004,professional when  the vaccine(s) is not administered on the same date of,,,,,,
G0313003004,"service for ages under 21, 16-30 mins time (this code is used for medicaid",,,,,,
G0313004004,billing purposes),,,,,,
G0314001003,Immunization counseling by a physician or other qualified health care,Counsel immune <21 16-30 m  99      9,,,I,0225M5D,1      0202205112022
G0314002004,"professional for covid-19, ages under 21, 16-30 mins time (this code is used",,,,,,
G0314003004,"for the medicaid early and periodic screening, diagnostic, and treatment",,,,,,
G0314004004,benefit (epsdt),,,,,,
G0315001003,Immunization counseling by a physician or other qualified health care,Counsel immune <21  5-15 m  99      9,,,I,0225M5D,1      0202205112022
G0315002004,"professional for covid-19, ages under 21, 5-15 mins time (this code is used for",,,,,,
G0315003004,"the medicaid early and periodic screening, diagnostic, and treatment benefit",,,,,,
G0315004004,(epsdt),,,,,,
G0316001003,Prolonged hospital inpatient or observation care evaluation and management,Prolong inpt eval add15 m   11      A,,,C,Y1,1      0202301012023
G0316002004,service(s) beyond the total time for the primary service (when the primary,,,,,,
G0316003004,service has been selected using time on the date of the primary service); each,,,,,,
G0316004004,"additional 15 minutes by the physician or qualified healthcare professional,",,,,,,
G0316005004,with or without direct patient contact (list separately in addition to cpt,,,,,,
G0316006004,"codes 99223, 99233, and 99236 for hospital inpatient or observation care",,,,,,
G0316007004,evaluation and management services). (do not report g0316 on the same date of,,,,,,
G0316008004,"service as other prolonged services for evaluation and management 99358, 99359,",,,,,,
G0316009004,"99418, 99415, 99416). (do not report g0316 for any time unit less than 15",,,,,,
G0316010004,minutes),,,,,,
G0317001003,Prolonged nursing facility evaluation and management service(s) beyond,Prolong nursin fac eval 15m 11      A,,,C,Y1,1      0202301012023
G0317002004,the total time for the primary service (when the primary service has been,,,,,,
G0317003004,selected using time on the date of the primary service); each additional 15,,,,,,
G0317004004,"minutes by the physician or qualified healthcare professional, with or without",,,,,,
G0317005004,"direct patient contact (list separately in addition to cpt codes 99306, 99310",,,,,,
G0317006004,for nursing facility evaluation and management services). (do not report g0317,,,,,,
G0317007004,on the same date of service as other prolonged services for evaluation and,,,,,,
G0317008004,"management 99358, 99359, 99418). (do not report g0317 for any time unit less",,,,,,
G0317009004,than 15 minutes),,,,,,
G0318001003,Prolonged home or residence evaluation and management service(s) beyond the,Prolong home eval add 15m   11      A,,,C,Y1,1      0202301012023
G0318002004,total time for the primary service (when the primary service has been selected,,,,,,
G0318003004,using time on the date of the primary service); each additional 15 minutes by,,,,,,
G0318004004,"the physician or qualified healthcare professional, with or without direct",,,,,,
G0318005004,"patient contact (list separately in addition to cpt codes 99345, 99350 for home",,,,,,
G0318006004,or residence evaluation and management services). (do not report g0318 on the,,,,,,
G0318007004,same date of service as other prolonged services for evaluation and management,,,,,,
G0318008004,"99358, 99359, 99417). (do not report g0318 for any time unit less than 15",,,,,,
G0318009004,minutes),,,,,,
G0320001003,Home health services furnished using synchronous telemedicine rendered via a,Two-way audio and video hhs 13      A,,,C,Z2,1      0202301012023
G0320002004,real-time two-way audio and video telecommunications system,,,,,,
G0321001003,Home health services furnished using synchronous telemedicine rendered via,Audio-only hhs              13      A,,,C,Z2,1      0202301012023
G0321002004,telephone or other real-time interactive audio-only telecommunications system,,,,,,
G0322001003,The collection of physiologic data digitally stored and/or transmitted by the,Home h physio data collec tr13      A,,,C,Z2,1      0202301012023
G0322002004,"patient to the home health agency (i.e., remote patient monitoring)",,,,,,
G0323001003,"Care management services for behavioral health conditions, at least 20 minutes",Care manage beh svs 20mins  13      A,,,C,Z2,1      0202301012024
G0323002004,"of clinical psychologist, clinical social worker, mental health counselor, or",,,,,,
G0323003004,"marriage and family therapist time, per calendar month. (these services include",,,,,,
G0323004004,"the following required elements: initial assessment or follow-up monitoring,",,,,,,
G0323005004,including the use of applicable validated rating scales; behavioral health care,,,,,,
G0323006004,"planning in relation to behavioral/psychiatric health problems, including",,,,,,
G0323007004,revision for patients who are not progressing or whose status changes;,,,,,,
G0323008004,"facilitating and coordinating treatment such as psychotherapy, coordination",,,,,,
G0323009004,with and/or referral to physicians and practitioners who are authorized by,,,,,,
G0323010004,"medicare to prescribe medications and furnish e/m services, counseling and/or",,,,,,
G0323011004,psychiatric consultation; and continuity of care with a designated member of,,,,,,
G0323012004,the care team),,,,,,
G0327001003,Colorectal cancer screening; blood-based biomarker,Colon ca scrn;bld-bsd biomrk21      A,310.0,,D,0224T1H,5      0202107012021
G0328001003,"Colorectal cancer screening; fecal occult blood test, immunoassay, 1-3",Fecal blood scrn immunoassay21      A,310400.0,,D,0064T1H,1      0200401012004
G0328002004,simultaneous,,,,,,
G0329001003,"Electromagnetic therapy, to one or more areas for chronic stage iii and stage",Electromagntic tx for ulcers00      9,,,C,I2B,1UW    0200407012004
G0329002004,"iv pressure ulcers, arterial ulcers, diabetic ulcers and venous stasis ulcers",,,,,,
G0329003004,not demonstrating measurable signs of healing after 30 days of conventional,,,,,,
G0329004004,care as part of a therapy plan of care,,,,,,
G0330001003,Facility services for dental rehabilitation procedure(s) performed on a patient,Facility svs dental rehab   53      A,,,DYY20240101,P1G,2      0202301012024
G0330002004,"who requires monitored anesthesia (e.g., general, intravenous sedation",,,,,,
G0330003004,(monitored anesthesia care) and use of an operating room,,,,,,
G0333001003,Pharmacy dispensing fee for inhalation drug(s); initial 30-day supply as a,Dispense fee initial 30 day 46      A,,,D,0121D1E,9      0200601012006
G0333002004,beneficiary,,,,,,
G0337001003,"Hospice evaluation and counseling services, pre-election",Hospice evaluation preelecti11      A,,,C,M5D,1      0200501012005
G0339001003,"Image-guided robotic linear accelerator-based stereotactic radiosurgery,","Robot lin-radsurg com, first13      A",,,C,P5E,1      0200401012014
G0339002004,complete course of therapy in one session or first session of fractionated,,,,,,
G0339003004,treatment,,,,,,
G0340001003,"Image-guided robotic linear accelerator-based stereotactic radiosurgery,",Robt lin-radsurg fractx 2-5 13      A,,,C,P5E,1      0200401012014
G0340002004,"delivery including collimator changes and custom plugging, fractionated",,,,,,
G0340003004,"treatment, all lesions, per session, second through fifth sessions, maximum",,,,,,
G0340004004,five sessions per course of treatment,,,,,,
G0341001003,"Percutaneous islet cell transplant, includes portal vein catheterization and",Percutaneous islet celltrans13      A260.3 35-82,,,D,P1G,2      0200410012004
G0341002004,infusion,,,,,,
G0342001003,"Laparoscopy for islet cell transplant, includes portal vein catheterization and",Laparoscopy islet cell trans13      A35-82,,,D,P1G,2      0200410012004
G0342002004,infusion,,,,,,
G0343001003,"Laparotomy for islet cell transplant, includes portal vein catheterization and",Laparotomy islet cell transp13      A35-82,,,D,P1G,2      0200410012004
G0343002004,infusion,,,,,,
G0364001003,Bone marrow aspiration performed with bone marrow biopsy through the same,Bone marrow aspirate &biopsy11      A,,,C,P6C,2      0200501012018
G0364002004,incision on the same date of service,,,,,,
G0365001003,Vessel mapping of vessels for hemodialysis access (services for preoperative,Vessel mapping hemo access  11      A,,,C,P9A,5      0200501012020
G0365002004,vessel mapping prior to creation of hemodialysis access using an autogenous,,,,,,
G0365003004,"hemodialysis conduit, including arterial inflow and venous outflow)",,,,,,
G0372001003,Physician service required to establish and document the need for a power,Md service required for pmd 13      A,,,D,0128M5D,1      0200510252005
G0372002004,mobility device,,,,,,
G0378001003,"Hospital observation service, per hour",Hospital observation per hr 00      9,,,D,0107M2A,1      0200601012006
G0379001003,Direct admission of patient for hospital observation care,Direct refer hospital observ00      9,,,D,0107M2A,1      0200601012010
G0380001003,Level 1 hospital emergency department visit provided in a type b emergency,Lev 1 hosp type b ed visit  00      9,,,C,M3,1      0200701012008
G0380002004,department; (the ed must meet at least one of the following requirements: (1),,,,,,
G0380003004,it is licensed by the state in which it is located under applicable state law,,,,,,
G0380004004,as an emergency room or emergency department; (2) it is held out to the public,,,,,,
G0380005004,"(by name, posted signs, advertising, or other means) as a place that provides",,,,,,
G0380006004,care for emergency medical conditions on an urgent basis without requiring a,,,,,,
G0380007004,previously scheduled appointment; or (3) during the calendar year immediately,,,,,,
G0380008004,preceding the calendar year in which a determination under 42 cfr 489.24 is,,,,,,
G0380009004,"being made, based on a representative sample of patient visits that occurred",,,,,,
G0380010004,"during that calendar year, it provides at least one-third of all of its",,,,,,
G0380011004,outpatient visits for the treatment of emergency medical conditions on an,,,,,,
G0380012004,urgent basis without requiring a previously scheduled appointment),,,,,,
G0381001003,Level 2 hospital emergency department visit provided in a type b emergency,Lev 2 hosp type b ed visit  00      9,,,C,M3,1      0200701012008
G0381002004,department; (the ed must meet at least one of the following requirements: (1),,,,,,
G0381003004,it is licensed by the state in which it is located under applicable state law,,,,,,
G0381004004,as an emergency room or emergency department; (2) it is held out to the public,,,,,,
G0381005004,"(by name, posted signs, advertising, or other means) as a place that provides",,,,,,
G0381006004,care for emergency medical conditions on an urgent basis without requiring a,,,,,,
G0381007004,previously scheduled appointment; or (3) during the calendar year immediately,,,,,,
G0381008004,preceding the calendar year in which a determination under 42 cfr 489.24 is,,,,,,
G0381009004,"being made, based on a representative sample of patient visits that occurred",,,,,,
G0381010004,"during that calendar year, it provides at least one-third of all of its",,,,,,
G0381011004,outpatient visits for the treatment of emergency medical conditions on an,,,,,,
G0381012004,urgent basis without requiring a previously scheduled appointment),,,,,,
G0382001003,Level 3 hospital emergency department visit provided in a type b emergency,Lev 3 hosp type b ed visit  00      9,,,C,M3,1      0200701012008
G0382002004,department; (the ed must meet at least one of the following requirements: (1),,,,,,
G0382003004,it is licensed by the state in which it is located under applicable state law,,,,,,
G0382004004,as an emergency room or emergency department; (2) it is held out to the public,,,,,,
G0382005004,"(by name, posted signs, advertising, or other means) as a place that provides",,,,,,
G0382006004,care for emergency medical conditions on an urgent basis without requiring a,,,,,,
G0382007004,previously scheduled appointment; or (3) during the calendar year immediately,,,,,,
G0382008004,preceding the calendar year in which a determination under 42 cfr 489.24 is,,,,,,
G0382009004,"being made, based on a representative sample of patient visits that occurred",,,,,,
G0382010004,"during that calendar year, it provides at least one-third of all of its",,,,,,
G0382011004,outpatient visits for the treatment of emergency medical conditions on an,,,,,,
G0382012004,urgent basis without requiring a previously scheduled appointment),,,,,,
G0383001003,Level 4 hospital emergency department visit provided in a type b emergency,Lev 4 hosp type b ed visit  00      9,,,C,M3,1      0200701012008
G0383002004,department; (the ed must meet at least one of the following requirements: (1),,,,,,
G0383003004,it is licensed by the state in which it is located under applicable state law,,,,,,
G0383004004,as an emergency room or emergency department; (2) it is held out to the public,,,,,,
G0383005004,"(by name, posted signs, advertising, or other means) as a place that provides",,,,,,
G0383006004,care for emergency medical conditions on an urgent basis without requiring a,,,,,,
G0383007004,previously scheduled appointment; or (3) during the calendar year immediately,,,,,,
G0383008004,preceding the calendar year in which a determination under 42 cfr 489.24 is,,,,,,
G0383009004,"being made, based on a representative sample of patient visits that occurred",,,,,,
G0383010004,"during that calendar year, it provides at least one-third of all of its",,,,,,
G0383011004,outpatient visits for the treatment of emergency medical conditions on an,,,,,,
G0383012004,urgent basis without requiring a previously scheduled appointment),,,,,,
G0384001003,Level 5 hospital emergency department visit provided in a type b emergency,Lev 5 hosp type b ed visit  00      9,,,C,M3,1      0200701012008
G0384002004,department; (the ed must meet at least one of the following requirements: (1),,,,,,
G0384003004,it is licensed by the state in which it is located under applicable state law,,,,,,
G0384004004,as an emergency room or emergency department; (2) it is held out to the public,,,,,,
G0384005004,"(by name, posted signs, advertising, or other means) as a place that provides",,,,,,
G0384006004,care for emergency medical conditions on an urgent basis without requiring a,,,,,,
G0384007004,previously scheduled appointment; or (3) during the calendar year immediately,,,,,,
G0384008004,preceding the calendar year in which a determination under 42 cfr 489.24 is,,,,,,
G0384009004,"being made, based on a representative sample of patient visits that occurred",,,,,,
G0384010004,"during that calendar year, it provides at least one-third of all of its",,,,,,
G0384011004,outpatient visits for the treatment of emergency medical conditions on an,,,,,,
G0384012004,urgent basis without requiring a previously scheduled appointment),,,,,,
G0389001003,Ultrasound b-scan and/or real time with image documentation; for abdominal,Ultrasound exam aaa screen  13      A,,,D,0134I3B,4      0200701012017
G0389002004,aortic aneurysm (aaa) screening,,,,,,
G0390001003,Trauma response team associated with hospital critical care service,Trauma respons w/hosp criti 00      9,,,D,0136M5D,1      0200701012007
G0396001003,Alcohol and/or substance (other than tobacco) misuse structured assessment,Alcohol/subs interv 15-30mn 11      A,,,C,M5D,1      0200801012020
G0396002004,"(e.g., audit, dast), and brief intervention 15 to 30 minutes",,,,,,
G0397001003,Alcohol and/or substance (other than tobacco) misuse structured assessment,Alcohol/subs interv >30 min 11      A,,,C,M5D,1      0200801012020
G0397002004,"(e.g., audit, dast), and intervention, greater than 30 minutes",,,,,,
G0398001003,"Home sleep study test (hst) with type ii portable monitor, unattended; minimum",Home sleep test/type 2 porta13      A,,,C,T2D,5      0200803132008
G0398002004,"of 7 channels: eeg, eog, emg, ecg/heart rate, airflow, respiratory effort and",,,,,,
G0398003004,oxygen saturation,,,,,,
G0399001003,"Home sleep test (hst) with type iii portable monitor, unattended; minimum of 4",Home sleep test/type 3 porta13      A,,,C,T2D,5      0200803132008
G0399002004,"channels: 2 respiratory movement/airflow, 1 ecg/heart rate and 1 oxygen",,,,,,
G0399003004,saturation,,,,,,
G0400001003,"Home sleep test (hst) with type iv portable monitor, unattended; minimum of 3",Home sleep test/type 4 porta13      A,,,C,T2D,5      0200803132008
G0400002004,channels,,,,,,
G0402001003,"Initial preventive physical examination; face-to-face visit, services limited",Initial preventive exam     11      A,,,C,0153M1A,1      0200901012009
G0402002004,to new beneficiary during the first 12 months of medicare enrollment,,,,,,
G0403001003,"Electrocardiogram, routine ecg with 12 leads; performed as a screening for the",Ekg for initial prevent exam11      A,,,C,0153T2C,5      0200901012009
G0403002004,initial preventive physical examination with interpretation and report,,,,,,
G0404001003,"Electrocardiogram, routine ecg with 12 leads; tracing only, without",Ekg tracing for initial prev11      A,,,C,0153T2C,5      0200901012009
G0404002004,"interpretation and report, performed as a screening for the initial preventive",,,,,,
G0404003004,physical examination,,,,,,
G0405001003,"Electrocardiogram, routine ecg with 12 leads; interpretation and report only,",Ekg interpret & report preve11      A,,,C,0153T2C,5      0200901012009
G0405002004,performed as a screening for the initial preventive physical examination,,,,,,
G0406001003,"Follow-up inpatient consultation, limited, physicians typically spend 15",Inpt/tele follow up 15      13      A,,,C,M6,3      0200901012012
G0406002004,minutes communicating with the patient via telehealth,,,,,,
G0407001003,"Follow-up inpatient consultation, intermediate, physicians typically spend 25",Inpt/tele follow up 25      11      A,,,C,M6,3      0200901012012
G0407002004,minutes communicating with the patient via telehealth,,,,,,
G0408001003,"Follow-up inpatient consultation, complex, physicians typically spend 35",Inpt/tele follow up 35      11      A,,,C,M6,3      0200901012012
G0408002004,minutes communicating with the patient via telehealth,,,,,,
G0409001003,"Social work and psychological services, directly relating to and/or furthering",Corf related serv 15 mins ea13      A,,,C,M5D,1      0200901012009
G0409002004,"the patient's rehabilitation goals, each 15 minutes, face-to-face; individual",,,,,,
G0409003004,(services provided by a corf-qualified social worker or psychologist in a corf),,,,,,
G0410001003,"Group psychotherapy other than of a multiple-family group, in a partial",Grp psych php/iop 45-50     13      A,,,C,P6D,1      0200901012024
G0410002004,"hospitalization or intensive outpatient setting, approximately 45 to 50 minutes",,,,,,
G0411001003,"Interactive group psychotherapy, in a partial hospitalization or intensive",Interactive grp psyc php/iop13      A,,,C,P6D,1      0200901012024
G0411002004,"outpatient setting, approximately 45 to 50 minutes",,,,,,
G0412001003,"Open treatment of iliac spine(s), tuberosity avulsion, or iliac wing",Open tx iliac spine uni/bil 13      A,,,C,0155P3D,2      0200901012009
G0412002004,"fracture(s), unilateral or bilateral for pelvic bone fracture patterns which do",,,,,,
G0412003004,"not disrupt the pelvic ring includes internal fixation, when performed",,,,,,
G0413001003,Percutaneous skeletal fixation of posterior pelvic bone fracture and/or,Pelvic ring fracture uni/bil13      A,,,C,0155P3D,2      0200901012009
G0413002004,"dislocation, for fracture patterns which disrupt the pelvic ring, unilateral or",,,,,,
G0413003004,"bilateral, (includes ilium, sacroiliac joint and/or sacrum)",,,,,,
G0414001003,Open treatment of anterior pelvic bone fracture and/or dislocation for fracture,Pelvic ring fx treat int fix13      A,,,C,0155P3D,2      0200901012009
G0414002004,"patterns which disrupt the pelvic ring, unilateral or bilateral, includes",,,,,,
G0414003004,internal fixation when performed (includes pubic symphysis and/or,,,,,,
G0414004004,superior/inferior rami),,,,,,
G0415001003,"Open treatment of posterior pelvic bone fracture and/or dislocation, for",Open tx post pelvic fxcture 13      A,,,C,0155P3D,2      0200901012009
G0415002004,"fracture patterns which disrupt the pelvic ring, unilateral or bilateral,",,,,,,
G0415003004,"includes internal fixation, when performed (includes ilium, sacroiliac joint",,,,,,
G0415004004,and/or sacrum),,,,,,
G0416001003,"Surgical pathology, gross and microscopic examinations, for prostate needle","Prostate biopsy, any mthd   13      A",610.0,,C,T1G,5      0200901012015
G0416002004,"biopsy, any method",,,,,,
G0417001003,"Surgical pathology, gross and microscopic examination, for prostate needle",Sat biopsy prostate 21-40   13      A,610.0,,C,T1G,5      0200901012015
G0417002004,"biopsy, any method, 21-40 specimens",,,,,,
G0418001003,"Surgical pathology, gross and microscopic examination, for prostate needle",Sat biopsy prostate 41-60   13      A,610.0,,C,T1G,5      0200901012015
G0418002004,"biopsy, any method, 41-60 specimens",,,,,,
G0419001003,"Surgical pathology, gross and microscopic examination, for prostate needle",Sat biopsy prostate: >60    13      A,610.0,,C,T1G,5      0200901012015
G0419002004,"biopsy, any method, >60 specimens",,,,,,
G0420001003,Face-to-face educational services related to the care of chronic kidney,Ed svc ckd ind per session  11      A,,,C,M1B,1      0201001012010
G0420002004,"disease; individual, per session, per one hour",,,,,,
G0421001003,Face-to-face educational services related to the care of chronic kidney,Ed svc ckd grp per session  11      A,,,C,M1B,1      0201001012010
G0421002004,"disease; group, per session, per one hour",,,,,,
G0422001003,Intensive cardiac rehabilitation; with or without continuous ecg monitoring,Intens cardiac rehab w/exerc11      A,,,C,M5D,1      0201001012010
G0422002004,"with exercise, per session",,,,,,
G0423001003,Intensive cardiac rehabilitation; with or without continuous ecg monitoring;,Intens cardiac rehab no exer11      A,,,C,M5D,1      0201001012010
G0423002004,"without exercise, per session",,,,,,
G0424001003,"Pulmonary rehabilitation, including exercise (includes monitoring), one hour,",Pulmonary rehab w exer      11      A,,,C,M5D,1      0201001012022
G0424002004,"per session, up to two sessions per day",,,,,,
G0425001003,"Telehealth consultation, emergency department or initial inpatient, typically",Inpt/ed teleconsult30       13      A,,,C,M6,3      0201001012012
G0425002004,30 minutes communicating with the patient via telehealth,,,,,,
G0426001003,"Telehealth consultation, emergency department or initial inpatient, typically",Inpt/ed teleconsult50       13      A,,,C,M6,3      0201001012012
G0426002004,50 minutes communicating with the patient via telehealth,,,,,,
G0427001003,"Telehealth consultation, emergency department or initial inpatient, typically",Inpt/ed teleconsult70       13      A,,,C,M6,3      0201001012012
G0427002004,70 minutes or more communicating with the patient via telehealth,,,,,,
G0428001003,"Collagen meniscus implant procedure for filling meniscal defects (e.g., cmi,",Collagen meniscus implant   00      9,,,M,0169P1G,2      0201005252010
G0428002004,"collagen scaffold, menaflex)",,,,,,
G0429001003,Dermal filler injection(s) for the treatment of facial lipodystrophy syndrome,Dermal filler injection(s)  13      A,,,CYY20170101,P6A,1      0201003232017
G0429002004,"(lds) (e.g., as a result of highly active antiretroviral therapy)",,,,,,
G0431001003,"Drug screen, qualitative; multiple drug classes by high complexity test method",Drug screen multiple class  1321    A,340.0,,C,T1H,5      0201001012016
G0431002004,"(e.g., immunoassay, enzyme assay), per patient encounter",,,,,,
G0432001003,"Infectious agent antibody detection by enzyme immunoassay (eia) technique,",Eia hiv-1/hiv-2 screen      21      A,140220.0,,C,0164T1H,9      0200912082010
G0432002004,"hiv-1 and/or hiv-2, screening",,,,,,
G0433001003,Infectious agent antibody detection by enzyme-linked immunosorbent assay,Elisa hiv-1/hiv-2 screen    21      A,140220.0,,C,0164T1H,9      0200912082013
G0433002004,"(elisa) technique, hiv-1 and/or hiv-2, screening",,,,,,
G0434001003,"Drug screen, other than chromatographic; any number of drug classes, by clia",Drug screen multi drug class21      A,340.0,,C,T1H,5      0201101012016
G0434002004,"waived test or moderate complexity test, per patient encounter",,,,,,
G0435001003,"Infectious agent antibody detection by rapid antibody test, hiv-1 and/or hiv-2,",Oral hiv-1/hiv-2 screen     21      A,140220.0,,C,0164T1H,9      0200912082010
G0435002004,screening,,,,,,
G0436001003,Smoking and tobacco cessation counseling visit for the asymptomatic patient;,Tobacco-use counsel 3-10 min13      A,,9940699407,C,P5E,1      0201101012016
G0436002004,"intermediate, greater than 3 minutes, up to 10 minutes",,,,,,
G0437001003,Smoking and tobacco cessation counseling visit for the asymptomatic patient;,Tobacco-use counsel>10min   13      A,,9940699407,C,P5E,1      0201101012016
G0437002004,"intensive, greater than 10 minutes",,,,,,
G0438001003,Annual wellness visit; includes a personalized prevention plan of service,"Ppps, initial visit         13      A",,,C,M5D,1      0201101012011
G0438002004,"(pps), initial visit",,,,,,
G0439001003,"Annual wellness visit, includes a personalized prevention plan of service","Ppps, subseq visit          13      A",,,C,M5D,1      0201101012011
G0439002004,"(pps), subsequent visit",,,,,,
G0442001003,"Annual alcohol misuse screening, 5 to 15 minutes",Annual alcohol screen 15 min13      A,,,C,Y1,1      0201110142023
G0443001003,"Brief face-to-face behavioral counseling for alcohol misuse, 15 minutes",Brief alcohol misuse counsel13      A,,,C,Y1,1      0201110142011
G0444001003,"Annual depression screening, 5 to 15 minutes",Depression screen annual    13      A,,,C,Y1,1      0201110142023
G0445001003,High intensity behavioral counseling to prevent sexually transmitted infection;,High inten beh couns std 30m13      A,,,C,Y1,1      0201111082011
G0445002004,"face-to-face, individual, includes: education, skills training and guidance on",,,,,,
G0445003004,"how to change sexual behavior; performed semi-annually, 30 minutes",,,,,,
G0446001003,"Annual, face-to-face intensive behavioral therapy for cardiovascular disease,",Intens behave ther cardio dx13      A,,,C,Y1,1      0201111082011
G0446002004,"individual, 15 minutes",,,,,,
G0447001003,"Face-to-face behavioral counseling for obesity, 15 minutes",Behavior counsel obesity 15m13      A,,,C,Y1,1      0201111292011
G0448001003,Insertion or replacement of a permanent pacing cardioverter-defibrillator,Place perm pacing cardiovert13      A,,,C,Y1,2      0201201012014
G0448002004,"system with transvenous lead(s), single or dual chamber with insertion of",,,,,,
G0448003004,"pacing electrode, cardiac venous system, for left ventricular pacing",,,,,,
